name,business_status,price_level,place_id,rating,types,lat,lng,open,old_neighborhood,neighborhood,borough,pull_date,pull_datetime,pull_week
Happy Garden,OPERATIONAL,1,ChIJk0Q_xlvzwokRGWt40Uohy8A,4.1,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8615656,-73.8573773,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
John & Joe's Pizzeria and Restaurant,OPERATIONAL,NA,ChIJLc1b4871wokRfsjAm_SYNf0,4.4,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8545641,-73.8659036,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Empanadas monumental,OPERATIONAL,1,ChIJEx_jYF3zwokRIf6H2-sP83M,4.1,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8652192,-73.86519369999999,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Sweet Breez,OPERATIONAL,NA,ChIJV2FWOvHzwokR9hVut5dUM3E,4.1,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.86758469999999,-73.8674944,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Tacos El Bronco 2,OPERATIONAL,1,ChIJA8H7p5_0wokRex3wNmn4Kds,4.7,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8546856,-73.86747369999999,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
La Parranda,CLOSED_TEMPORARILY,NA,ChIJB3MXwmfzwokRVlzDpWGcDQc,4,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.865955,-73.867064,FALSE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Santos Fish Market,OPERATIONAL,1,ChIJm9VrbmjzwokRmS8oHa4NPLM,3.9,"c(""grocery_or_supermarket"", ""restaurant"", ""food"", ""point_of_interest"", ""store"", ""establishment"")",40.8676206,-73.8675421,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
SOFRA - Albanian & Greek Cuisine,OPERATIONAL,NA,ChIJp2jh7Kf0wokRe0GlbyXwdtw,4.7,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8544975,-73.8550265,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Ganzo Flower,OPERATIONAL,NA,ChIJJTNbMmDzwokRAkAfUH-H42A,4.5,"c(""restaurant"", ""florist"", ""grocery_or_supermarket"", ""food"", ""point_of_interest"", ""store"", ""establishment"")",40.8580049,-73.8678644,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Three Boys From Italy,OPERATIONAL,2,ChIJnYIq82nzwokR-l-Zz1uitPM,4.5,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8712332,-73.86686519999999,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Side By Side Pizza,OPERATIONAL,1,ChIJs9iSL17zwokRXZQ3VveVk84,4.1,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8597231,-73.8648884,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Enzo's Of Williamsbridge,OPERATIONAL,2,ChIJm0wf5qf0wokR8wUD2sL-fIA,4.6,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8541924,-73.8540129,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
